zone_code,tree_cover_ratio,grassland_ratio,builtup_landcover_ratio,bare_sparse_ratio,water_ratio,dominant_landcover_class,landcover_source,landcover_warning
NSR-GRID-143,0.0,0.0036973400900411194,0.8658010541044143,0.13050160580554943,0.0,49,esa_worldcover_v200,
NSR-GRID-144,0.0013865025337654196,0.0,0.9953783248874486,0.0032351725787859793,0.0,50,esa_worldcover_v200,
NSR-GRID-145,0.0,0.017063949484184864,0.8385023597729439,0.14443369074287593,0.0,49,esa_worldcover_v200,
NSR-GRID-146,0.0,0.005290458687661779,0.9668272472215581,0.027882294090780683,0.0,50,esa_worldcover_v200,
NSR-GRID-147,0.0,0.054327337842638525,0.886662026867342,0.056237630222493076,0.0,50,esa_worldcover_v200,
NSR-GRID-148,0.0,0.09190789998332606,0.735332071887895,0.15788548395281954,0.0,49,esa_worldcover_v200,
NSR-GRID-149,0.0,0.025475398189028425,0.8701871144073063,0.10349833619695986,0.0,49,esa_worldcover_v200,
NSR-GRID-150,0.0,0.07204919637225717,0.5728448494602634,0.33659750465792404,0.0,50,esa_worldcover_v200,
NSR-GRID-151,0.0,0.014531265464775546,0.3135664134317479,0.6719023211034754,0.0,60,esa_worldcover_v200,
NSR-GRID-152,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-153,0.0,0.0,0.9995378752045582,0.0004621247954418178,0.0,50,esa_worldcover_v200,
NSR-GRID-154,0.02587898854474182,0.010148622958722282,0.9289052716659509,0.014325868658696363,0.0,50,esa_worldcover_v200,
NSR-GRID-155,0.013863743863254546,0.0,0.9861362561367455,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-156,0.02264411497664909,0.0,0.95933301800112,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-157,0.0,0.0,0.9935302528638146,0.006469747136185455,0.0,50,esa_worldcover_v200,
NSR-GRID-158,0.0,0.0,0.9916998762230452,0.008300123776955009,0.0,50,esa_worldcover_v200,
NSR-GRID-159,0.035942435560774824,0.0,0.9552590707848331,0.008798493654392264,0.0,50,esa_worldcover_v200,
NSR-GRID-160,0.013504917551499723,0.0,0.9864950824485004,0.0,0.0,50,esa_worldcover_v200,
