zone_code,population_sum,population_mean,population_source,population_warning,population_density_proxy
NSR-GRID-141,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-142,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-143,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-144,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-145,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-146,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-147,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-148,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-149,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-150,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-151,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-152,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-153,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-154,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-155,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-156,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-157,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-158,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-159,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-160,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-161,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-162,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-163,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-164,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-165,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-166,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-167,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-168,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-169,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-170,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-171,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-172,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-173,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-174,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-175,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-176,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-177,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-178,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-179,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-180,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-181,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-182,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-183,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-184,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-185,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-186,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-187,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-188,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-189,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-190,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-191,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-192,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-193,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-194,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-195,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-196,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-197,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-198,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-199,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-200,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-201,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-202,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-203,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-204,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-205,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-206,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-207,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-208,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-209,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-210,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-211,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-212,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-213,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-214,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-215,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-216,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-217,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-218,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-219,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-220,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-221,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-222,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-223,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-224,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-225,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-226,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-227,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-228,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-229,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-230,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-231,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-232,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-233,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-234,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-235,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-236,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-237,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-238,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-239,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-240,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-241,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-242,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-243,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-244,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-245,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-246,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-247,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-248,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-249,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-250,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-251,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-252,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-253,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-254,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-255,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-256,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-257,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-258,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-259,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-260,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-261,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-262,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-263,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-264,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-265,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-266,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-267,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-268,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-269,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-270,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-271,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-272,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-273,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-274,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-275,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-276,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-277,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-278,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-279,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-280,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-281,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-282,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-283,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-284,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-285,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-286,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-287,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-288,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-289,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-290,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-291,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-292,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-293,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-294,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-295,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-296,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-297,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-298,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-299,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-300,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-301,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-302,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-303,0.0,0.0,worldpop_100m,,0.0
