zone_code,zone_area_m2,zone_area_km2,road_count,road_length_m,road_density_m_per_km2,primary_road_count,secondary_road_count,tertiary_road_count,residential_road_count,service_road_count,unknown_road_count,avg_base_speed_kph,avg_base_travel_time_sec,intersection_proxy_count
NSR-GRID-185,250000.00000023283,0.2500000000002328,65,4539.64290760543,18158.57163040481,0,0,0,0,0,65,27.000113679424025,9.23153888861872,40
NSR-GRID-186,250000.00000046566,0.2500000000004657,101,7149.249441949242,28596.997767743702,0,0,0,0,0,101,29.73175470256385,9.7982348827625,52
NSR-GRID-187,250000.00000023283,0.2500000000002328,176,10427.758795118976,41711.03518043706,0,0,0,0,0,176,23.181818181818183,9.175754402655693,75
NSR-GRID-188,250000.00000023283,0.2500000000002328,124,8334.724734917898,33338.898939640545,0,0,0,0,0,124,23.5,10.296845931950731,50
NSR-GRID-189,250000.0,0.25,214,11866.152175884465,47464.60870353786,0,0,0,0,0,214,30.8958688212636,7.534944372623549,86
NSR-GRID-190,250000.00000023283,0.2500000000002328,134,8248.998556997796,32995.99422796046,0,0,0,0,0,134,23.5,9.430420706634507,54
NSR-GRID-191,250000.00000023283,0.2500000000002328,112,7401.245479832784,29604.98191930357,0,0,0,0,0,112,27.562631949331458,9.14286709053393,49
NSR-GRID-192,250000.00000046566,0.2500000000004657,8,1228.069558895555,4912.27823557307,0,0,0,0,0,8,42.45894909688013,17.40356560567841,8
NSR-GRID-193,2145.756291076851,0.002145756291076851,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-194,44803.887605518445,0.04480388760551844,1,197.53737376986538,4408.933785146246,0,0,0,0,0,1,90.0,7.901494950794615,2
NSR-GRID-195,198555.73524260474,0.19855573524260475,105,5669.165500110751,28552.01081542116,0,0,0,0,0,105,25.96996637735554,7.916860331331158,44
NSR-GRID-196,242805.5469969008,0.24280554699690082,20,4122.654544734457,16979.24366113052,0,0,0,0,0,20,68.07877668308703,11.088754497546514,20
NSR-GRID-197,250000.0,0.25,44,4512.425074150818,18049.70029660327,0,0,0,0,0,44,23.5,15.710570857778475,29
NSR-GRID-198,249999.99999976717,0.24999999999976716,30,4099.836124691782,16399.3444987824,0,0,0,0,0,30,32.726190476190474,17.297483560235847,23
NSR-GRID-199,250000.0,0.25,64,7230.75125188911,28923.00500755644,0,0,0,0,0,64,23.5,17.307649273138825,30
NSR-GRID-200,250000.0,0.25,55,5081.16531170413,20324.66124681652,0,0,0,0,0,55,35.2200776235259,11.182378226196532,32
NSR-GRID-201,250000.00000023283,0.2500000000002328,151,8674.407759673295,34697.63103866087,0,0,0,0,0,151,28.773350079926924,7.829380394520705,74
NSR-GRID-202,250000.0,0.25,66,5558.261499719119,22233.045998876474,0,0,0,0,0,66,31.97954918644574,11.370901238215723,31
NSR-GRID-203,250000.0,0.25,80,5740.091995258012,22960.367981032046,0,0,0,0,0,80,31.083579638752052,8.717240144301707,39
NSR-GRID-204,249999.99999976717,0.24999999999976716,73,5495.78331815294,21983.133272632236,0,0,0,0,0,73,31.291348943923342,9.49008529775451,39
NSR-GRID-205,250000.0,0.25,44,7322.504964775818,29290.01985910327,0,0,0,0,0,44,32.96234512613823,16.592471320442407,29
NSR-GRID-206,250000.0,0.25,118,7288.713796437313,29154.855185749253,0,0,0,0,0,118,23.5,9.46244849158829,54
NSR-GRID-207,250000.00000023283,0.2500000000002328,63,7426.5757246545545,29706.302898590555,0,0,0,0,0,63,44.35986655198478,12.84858301975755,47
NSR-GRID-208,250000.0,0.25,91,6968.524520095911,27874.098080383643,0,0,0,0,0,91,28.205651491365778,10.809741972118935,48
NSR-GRID-209,250000.0,0.25,66,6051.955766767317,24207.82306706927,0,0,0,0,0,66,34.7139622829278,12.457247531549996,40
NSR-GRID-210,249999.99999976717,0.24999999999976716,48,4603.4967645159095,18413.987058080787,0,0,0,0,0,48,32.68705528188287,11.95462404030974,26
NSR-GRID-211,250000.0,0.25,72,7048.9428088897885,28195.771235559154,0,0,0,0,0,72,33.010616219667945,13.758804815028485,36
NSR-GRID-212,250000.0,0.25,71,5771.076007798858,23084.304031195432,0,0,0,0,0,71,34.298295520247926,9.987146777304108,42
NSR-GRID-213,142932.66366932957,0.14293266366932958,1,416.12702301018646,2911.3500884086498,0,0,0,0,0,1,90.0,16.645080920407455,2
NSR-GRID-214,149021.8868969679,0.14902188689696788,46,4763.439603879077,31964.69795857885,0,0,0,0,0,46,23.5,15.863443639190267,18
NSR-GRID-215,250000.00000046566,0.2500000000004657,73,5521.297541334169,22085.19016529554,0,0,0,0,0,73,23.5,11.586517720083362,32
NSR-GRID-216,250000.00000023283,0.2500000000002328,30,3746.458588756513,14985.834355012097,0,0,0,0,0,30,35.835358511220576,16.21842579740771,21
NSR-GRID-217,250000.00000046566,0.2500000000004657,59,6203.411833415439,24813.647333615536,0,0,0,0,0,59,27.60012245693134,15.13517539651707,25
NSR-GRID-218,250000.00000046566,0.2500000000004657,49,6062.653679581704,24250.614718281642,0,0,0,0,0,49,30.69635736067826,16.713921360039222,27
NSR-GRID-219,250000.0000006985,0.2500000000006985,53,5394.869323975199,21579.477295840505,0,0,0,0,0,53,38.294683520773305,12.17747176023295,33
NSR-GRID-220,250000.00000046566,0.2500000000004657,49,5455.59745019924,21822.389800756308,0,0,0,0,0,49,47.348547300693674,9.372905451789663,32
NSR-GRID-221,250000.00000046566,0.2500000000004657,26,2238.1884057136103,8952.753622837765,0,0,0,0,0,26,41.32060755336617,8.775743022105686,20
NSR-GRID-222,250000.00000023283,0.2500000000002328,88,8488.4371322757,33953.74852907118,0,0,0,0,0,88,33.70751231527094,8.710041489015351,58
NSR-GRID-223,250000.00000046566,0.2500000000004657,177,9513.137250549496,38052.5490021271,0,0,0,0,0,177,26.216243169779116,7.714728314733247,86
NSR-GRID-224,250000.00000046566,0.2500000000004657,302,12666.711386993427,50666.84554787933,0,0,0,0,0,302,24.966414380321666,6.068294533665966,120
NSR-GRID-225,250000.0000006985,0.2500000000006985,185,8842.387601385843,35369.55040544455,0,0,0,0,0,185,27.73847690054587,6.223032697282684,76
NSR-GRID-226,250000.00000046566,0.2500000000004657,22,3872.311927994563,15489.2477119494,0,0,0,0,0,22,26.947081653978206,22.16864915071919,13
NSR-GRID-227,250000.00000046566,0.2500000000004657,60,7228.312264185753,28913.249056689154,0,0,0,0,0,60,23.5,18.455265355367878,28
NSR-GRID-228,250000.00000023283,0.2500000000002328,39,4743.232411132113,18972.929644510783,0,0,0,0,0,39,23.5,18.63135480641092,18
NSR-GRID-229,250000.00000046566,0.2500000000004657,72,6399.856160582562,25599.42464228256,0,0,0,0,0,72,25.60654989965335,12.898052557883288,32
NSR-GRID-230,250000.00000046566,0.2500000000004657,49,3949.1629640583496,15796.651856203973,0,0,0,0,0,49,36.655189169263764,10.213824586924456,25
