zone_code,built_surface_mean,built_surface_sum,built_surface_max,built_surface_nres_mean,built_surface_nres_sum,builtup_source,builtup_warning
NSR-GRID-138,4221.700233199067,78093.17647058824,5541.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-139,3531.750529885545,65344.30980392158,5706.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-140,308.40771349862257,5707.356862745099,5156.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-141,8.252542372881354,152.75294117647059,59.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-142,2023.2663135593214,37450.262745098036,5187.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-143,4347.331214240305,80451.20000000001,5840.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-144,4577.472345835981,84710.16470588236,5528.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-145,3378.1900826446285,62516.38823529413,5166.0,1.787031150667514,33.07058823529412,ghsl_p2023a_2020,
NSR-GRID-146,3617.1388005933454,66938.34509803921,4939.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-147,3675.006144067797,68023.64313725491,5425.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-148,2847.140042372881,52700.00392156863,6635.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-149,3922.67069294342,72592.48235294118,7008.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-150,2353.986649713922,43562.6,7008.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-151,98.27966976264189,1120.3882352941175,945.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-152,3402.1373546511627,36716.4,4928.0,17.569040697674417,189.60784313725492,ghsl_p2023a_2020,
NSR-GRID-153,4276.533704390848,81354.76470588233,5774.0,19.272727272727277,366.63529411764705,ghsl_p2023a_2020,
NSR-GRID-154,4292.994226804126,81651.06666666668,7180.0,149.49030927835057,2843.247058823529,ghsl_p2023a_2020,
NSR-GRID-155,4367.681368507832,83105.84313725491,5809.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-156,4114.499072356215,78272.29411764705,5666.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-157,3878.1947650453426,73792.16078431372,5176.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-158,4312.3159521846665,82052.38039215686,5674.0,253.54245671887884,4824.266666666666,ghsl_p2023a_2020,
NSR-GRID-159,4316.911321922046,82089.03137254901,6386.0,546.324396782842,10388.733333333334,ghsl_p2023a_2020,
NSR-GRID-160,4269.007630439266,81178.10980392156,5706.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-161,3389.4563827593324,64452.839215686276,5298.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-162,2447.4016494845364,46548.61960784314,5220.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-163,3208.920824742268,61032.4156862745,5627.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-164,3814.4900020614323,72565.06274509805,5421.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-165,4411.474237427865,83939.10980392156,5324.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-166,3816.902268041238,72595.9843137255,4972.0,0.7247422680412373,13.784313725490197,ghsl_p2023a_2020,
NSR-GRID-167,3936.3661855670116,74868.1411764706,8173.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-168,3875.7074226804125,73714.43529411763,8173.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-169,2881.758194186767,54821.211764705884,4972.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-170,2152.167765869745,40950.26666666667,7605.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-171,489.2999381570811,9308.211764705882,7605.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-172,47.99999999999999,32.94117647058823,105.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-173,245.8716387620497,3800.886274509804,2068.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-174,3306.10628742515,25982.105882352946,4443.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-175,4004.2948283170826,74087.30588235293,5625.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-176,4029.709684255139,74573.33333333334,5778.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-177,3807.5911403136915,70447.90196078431,5094.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-178,4038.5765154726573,74721.58431372549,5523.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-179,3946.596948506039,73035.25882352941,5885.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-180,4125.0069915254235,76353.0705882353,5420.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-181,3901.90681914443,72254.13333333335,5501.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-182,4226.9286016949145,78239.61960784314,5238.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-183,3833.288832379741,70938.39215686274,5404.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-184,3791.6401780038136,70167.64705882352,5219.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-185,3020.1015045560493,55889.6431372549,5515.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-186,4129.981351981352,76428.94901960786,5515.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-187,4528.655084745763,83824.51764705883,5762.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-188,4490.558262711864,83119.35294117648,5500.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-189,4186.853420885405,77514.25490196078,5532.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-190,3266.4879237288133,60462.05098039216,4614.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-191,1984.7010593220343,36736.4274509804,4683.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-192,345.40856113583385,6392.090196078431,3090.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-193,4220.4324324324325,612.3764705882353,4443.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-194,1225.250293772033,4088.972549019608,4074.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-195,3766.540122633965,55405.066666666666,5049.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-196,1113.153276725452,20049.854901960785,4176.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-197,3647.679864492907,67560.75294117647,5657.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-198,2681.0175810209707,49635.62352941176,5102.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-199,4432.0946632782725,82071.96470588235,6661.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-200,4521.630029648455,83729.94901960784,6254.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-201,4196.1203389830525,77669.36470588236,5420.0,17.606779661016954,325.89803921568625,ghsl_p2023a_2020,
NSR-GRID-202,4047.313571882278,74962.59607843136,5626.0,265.62481473639633,4919.788235294117,ghsl_p2023a_2020,
NSR-GRID-203,3544.4866581956794,65635.55294117646,5626.0,146.18127911901738,2706.9333333333334,ghsl_p2023a_2020,
NSR-GRID-204,4027.36713952996,74593.15686274509,5074.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-205,3649.0942197755667,67586.94901960784,5577.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-206,4247.872326910863,78677.25882352941,5577.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-207,4313.145096377888,79852.38431372552,5485.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-208,4548.571368064379,84228.83921568627,5762.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-209,4473.901292099133,82828.58039215686,6210.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-210,4463.962100359942,82679.58039215687,5820.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-211,4414.526360364175,81763.95294117647,5589.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-212,2734.991740787802,50645.61176470588,4887.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-213,1969.9495858840478,21453.137254901965,4337.0,2.482535109830752,27.035294117647055,ghsl_p2023a_2020,
NSR-GRID-214,4533.669201520913,51434.921568627455,6024.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-215,3869.9398062255195,73619.91372549019,5657.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-216,3659.750257572636,69650.0705882353,5541.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-217,4404.557113402061,83772.94901960783,6254.0,132.17938144329898,2514.0,ghsl_p2023a_2020,
NSR-GRID-218,4148.083487940632,78911.18823529415,6254.0,108.43887858173574,2062.8901960784315,ghsl_p2023a_2020,
NSR-GRID-219,3859.3279736136865,73418.03921568625,6172.0,75.08864151721293,1428.4509803921567,ghsl_p2023a_2020,
NSR-GRID-220,3705.061855670104,70468.82352941178,5626.0,930.4692783505154,17697.160784313724,ghsl_p2023a_2020,
NSR-GRID-221,4836.950319521748,92015.86666666665,9396.0,1051.7920016491446,20008.796078431373,ghsl_p2023a_2020,
NSR-GRID-222,3323.612577319588,63213.80784313725,5316.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-223,4529.054410552348,86176.36078431371,5807.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-224,4547.7895713108,86532.84313725492,5807.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-225,3758.2862147125484,71525.34509803921,5095.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-226,3429.8279060181376,65260.88235294119,5681.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-227,4597.042456718878,87470.0,5315.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-228,4735.43569661995,90103.27058823529,5913.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-229,4655.803298969072,88551.55294117646,5366.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-230,4232.114615543187,80509.7568627451,5208.0,242.62502576788287,4615.58431372549,ghsl_p2023a_2020,
NSR-GRID-231,1133.6718386346004,5730.599999999999,3628.0,0.5647788983708302,2.854901960784314,ghsl_p2023a_2020,
