zone_code,zone_risk_score,zone_risk_class,origin_lon,origin_lat,best_facility_id,best_facility_name,best_facility_type,facility_lon,facility_lat,normal_distance_m,safe_distance_m,normal_weather_eta_sec,safe_weather_eta_sec,risk_reduction_percent,eta_tradeoff_percent,safe_route_available,safe_route_quality,route_found,warning
NSR-GRID-054,0.9249283683019156,high,31.320010264630895,30.07411274076704,FAC-009,د. ممدوح لبيب,clinic,31.3238183,30.0724682,558.4724758889664,558.4724758889664,232.4376639811644,232.4376639811644,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-269,0.9242241216451188,high,31.333640476845826,30.03535554939526,FAC-007,عيادة د. احمد العساف,clinic,31.3392842,30.0464585,2668.9394233405865,2668.9394233405865,1382.3095136015454,1382.3095136015454,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-010,0.9240792274857864,high,31.320393891914314,30.08139902767363,FAC-025,مركز الدرة التخصصي للعيون,hospital,31.332632,30.0807161,1974.951272382175,1974.951272382175,1390.4491212491187,1390.4491212491187,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-024,0.9207006071733128,high,31.320010264630895,30.07799957549315,FAC-009,د. ممدوح لبيب,clinic,31.3238183,30.0724682,1395.4787158423123,1395.4787158423123,604.6696963251877,604.6696963251877,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-182,0.9198377444537305,high,31.360434452416282,30.05467627696249,FAC-016,مركز طبي الحى الثامن,hospital,31.3576391,30.0553351,651.45187202935,651.45187202935,520.115028747033,520.115028747033,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-193,0.9189612700838616,high,31.32591056614875,30.05267651491186,FAC-011,Nasr City Emergency Clinic,clinic,31.3279802,30.0536604,310.0543097126867,310.0543097126867,232.68687656226726,232.68687656226726,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-044,0.9183107194750304,high,31.38297410592584,30.077676978447126,FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,4825.257060133568,4825.257060133568,2338.828463662901,2338.828463662901,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-025,0.918250602251454,high,31.324501841051497,30.07799957549315,FAC-025,مركز الدرة التخصصي للعيون,hospital,31.332632,30.0807161,1277.7079415174348,1277.7079415174348,574.461079759557,574.461079759557,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-001,0.9166032191418216,high,31.333933656263138,30.084780191197172,FAC-021,مستشفى الابتسامة التخصصي.,doctors,31.3322762,30.0841935,203.46545786038286,203.46545786038286,237.85604519203122,237.85604519203122,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-143,0.9165636425029892,high,31.37840075809867,30.062451320471524,FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,2301.6696174954263,2301.6696174954263,773.0570623511111,773.0570623511111,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-153,0.9134806161395608,high,31.328993417472088,30.05856387504028,FAC-012,مستشفي جمال ابو العزايم,hospital,31.330529,30.0559906,446.1846121144481,446.1846121144481,513.4068083092341,513.4068083092341,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-285,0.9130906333694973,high,31.33484173910216,30.032339225287814,FAC-007,عيادة د. احمد العساف,clinic,31.3392842,30.0464585,2485.2091706934207,2485.2091706934207,1459.1297482931536,1459.1297482931536,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-306,0.912308676305702,high,31.35145129957508,30.02745881731535,FAC-016,مركز طبي الحى الثامن,hospital,31.3576391,30.0553351,3361.445105287061,3361.445105287061,937.8273145435846,937.8273145435846,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-109,0.9112768813257884,high,31.333484993892693,30.066338613244326,FAC-029,مستشفى تبارك للولادة والأطفال,hospital,31.33408005,30.06672815,133.27526594794227,133.27526594794227,154.41059056343587,154.41059056343587,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-301,0.90989379761598,high,31.33568111216607,30.029188450666133,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,none,False,No route found to any candidate hospitals/clinics.
NSR-GRID-041,0.9088530594883484,high,31.31598132175922,30.077816056346222,FAC-009,د. ممدوح لبيب,clinic,31.3238183,30.0724682,1233.8851616606958,1233.8851616606958,753.2673923884804,753.2673923884804,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-092,0.90738476194542,high,31.369417605257468,30.070225753346797,FAC-015,ايجيكير,hospital,31.3603878,30.0597161,2975.459702592904,2975.459702592904,1259.191664237703,1259.191664237703,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-208,0.9059067573949507,high,31.382892334519266,30.050788526250074,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,878.3436259226191,878.3436259226191,491.46117435257867,491.46117435257867,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-223,0.9057386597680952,high,31.369417605257468,30.04690062291493,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,1059.4905075502516,1059.4905075502516,468.63772271980747,468.63772271980747,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-032,0.905652105476899,high,31.355942875995677,30.07799957549315,FAC-028,مستشفى عبدالقادر فهمي,hospital,31.3444783,30.0784848,1554.8488125949052,1554.8488125949052,618.5188918788945,618.5188918788945,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-133,0.9049069725288952,high,31.33348499389269,30.062451320471524,FAC-035,الزهراء,hospital,31.3316957,30.0603801,664.568506346102,664.568506346102,404.3470424114641,404.3470424114641,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-121,0.9044707916531318,high,31.387383910939867,30.066338613244326,FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,3492.781975526882,3492.781975526882,1628.2102407558739,1628.2102407558739,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-175,0.9042632952343592,high,31.32899432078449,30.054677241379515,FAC-011,Nasr City Emergency Clinic,clinic,31.3279802,30.0536604,271.8796908112046,271.8796908112046,311.283053576395,311.283053576395,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-249,0.9040223911583236,high,31.330740250792875,30.040324579472603,FAC-019,مركز نيروكير,clinic,31.3286219,30.0508411,2506.2760988758,2543.7693512526275,2286.8428680655356,2268.4805002340318,1.3859068269412127,1.8316358502418857,True,weak_but_valid,True,
NSR-GRID-068,0.9034606826691688,high,31.382892334519262,30.07411274076704,FAC-014,مركز طبي الحى الثامن,hospital,31.35774,30.0561602,4441.240707779851,4441.240707779851,1894.3899766681686,1894.3899766681686,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-013,0.9032107736758196,high,31.351289039409384,30.080440264738566,FAC-028,مستشفى عبدالقادر فهمي,hospital,31.3444783,30.0784848,1897.5604970783572,1897.5604970783572,738.0402890813418,738.0402890813418,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-188,0.9031488723933933,high,31.387383910939864,30.05467627696249,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,1638.4327642945143,1638.4327642945143,1246.0929635728162,1246.0929635728162,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-227,0.9030556163637168,high,31.387383910939864,30.04690062291493,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,1445.4663733730433,1445.4663733730433,815.2914687631666,815.2914687631666,0.0,0.0,True,weak_but_valid,True,
