zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-065,30,0.5473030019329809,0.8859346241463257,0.4272319791085193,5,25,0,0.16666666666666666,0.004914581557873729,10.506666666666668,44.9,0.0,3902.3499364137347,0.0,medium
NSR-GRID-066,30,0.3270674412469717,0.6661233827497529,0.2066615235480456,1,8,21,0.03333333333333333,0.005127780389014177,10.506666666666668,44.9,0.0,835.2557203389831,0.0,low
NSR-GRID-067,30,0.39069833090258377,0.7271154419010205,0.2735470637795266,3,16,11,0.1,0.007371758029625954,10.506666666666668,44.9,0.0,1198.8323797414705,0.0,medium
NSR-GRID-068,30,0.5615296365283965,0.9034606826691688,0.4397011927432358,6,24,0,0.2,0.00396907254691326,10.506666666666668,44.9,0.0,3930.6150911403133,0.0,medium
NSR-GRID-069,30,0.4515759596194817,0.7911599177385631,0.3312622259010901,4,26,0,0.13333333333333333,0.004566340180529829,10.506666666666668,44.9,0.0,2436.1265366680796,0.0,medium
NSR-GRID-070,30,0.3779535331637722,0.7194216774588704,0.2548593320794763,3,11,16,0.1,0.0043110085560307525,10.506666666666668,44.9,0.0,2078.7591689633255,0.0,medium
NSR-GRID-071,30,0.37074605525922283,0.7108459015720515,0.2508503591319572,2,12,16,0.06666666666666667,0.004823081233894767,10.506666666666668,44.9,0.0,1380.7626112759638,0.0,medium
NSR-GRID-072,30,0.2934519468786573,0.6334596047127117,0.1741079472918505,0,7,23,0.0,0.005482254290183322,10.506666666666668,44.9,0.0,295.8667090485271,0.0,low
NSR-GRID-073,30,0.29024255891547524,0.6310017079882604,0.1706985184170637,0,7,23,0.0,0.005197619299024709,10.506666666666668,44.9,0.0,266.2314049586777,0.0,low
NSR-GRID-074,30,0.27413404862075835,0.6155281421595054,0.1529929612324585,0,7,23,0.0,0.004484690024154233,10.506666666666668,44.9,0.0,86.89682203389833,0.0,low
NSR-GRID-075,30,0.25389549500796993,0.5960214834950711,0.1327635305550155,0,7,23,0.0,0.004547856485431041,10.506666666666668,44.9,0.0,369.57775423728833,0.0,low
NSR-GRID-076,30,0.23683979826851917,0.5808864902051959,0.1139749315075549,0,6,24,0.0,0.005035526616708963,10.506666666666668,44.9,0.0,5.785032859868559,0.0,low
NSR-GRID-077,30,0.2545882257705537,0.5985184431852207,0.1317047873703886,0,7,23,0.0,0.005237604043630864,10.506666666666668,44.9,0.0,5.632627118644071,0.0,low
NSR-GRID-078,30,0.4758507939763557,0.8167836399923392,0.3531985922861826,5,25,0,0.16666666666666666,0.0043765020175371835,10.506666666666668,44.9,0.0,2758.0,0.0,medium
